Equipment Name	Firepower	Torpedo	Anti-Air	Damage	Coefficient	Ammo Type	Damage to L	Damage to M	Damage to H
Twin 127mm (Type 3 Mod B) (Tier 0)	25	0	0	14	1.10	HE	1.2	0.6	0.6
Twin 127mm (Type 3) (Tier 1)	5	0	0	5	1.10	Normal	1	0.5	0.2
Twin 127mm (Type 3) (Tier 2)	12	0	0	8	1.10	Normal	1	0.5	0.2
Twin 127mm (Type 3) (Tier 3)	25	0	0	12	1.10	HE	1.2	0.6	0.6
Twin 128mm (SK C/41) (Tier 1)	3	0	2	6	1.15	AP	0.9	0.7	0.4
Twin 128mm (SK C/41) (Tier 2)	7	0	5	8	1.15	AP	0.9	0.7	0.4
Twin 128mm (SK C/41) (Tier 3)	15	0	10	11	1.15	AP	0.9	0.7	0.4
Twin 128mm/45 SK C/41 (Tier 0)	30	0	15	16	1.20	AP	0.9	0.7	0.4
Twin 130mm (B-2LM) (Tier 1)	12	0	0	7	1.25	Normal*	1	0.55	0.25
Twin 130mm (B-2LM) (Tier 3)	35	0	0	15	1.25	Normal*	1	0.55	0.25
Twin 130mm (Mle 1935) (Tier 1)	5	0	0	10	1.25	Normal	1	0.5	0.2
Twin 134mm (QF Mark II) (Tier 1)	2	0	3	6	1.10	Normal	1	0.5	0.2
Twin 134mm (QF Mark II) (Tier 2)	5	0	7	8	1.10	AP	0.9	0.7	0.4
Twin 134mm (QF Mark II) (Tier 3)	10	0	15	11	1.10	AP	0.9	0.7	0.4
